pin,slack
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/un13_writefull_0_I_9:B,13523
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/un13_writefull_0_I_9:C,13472
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/un13_writefull_0_I_9:D,15657
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/un13_writefull_0_I_9:FCI,13472
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/un13_writefull_0_I_9:FCO,13472
top_sb_0/MSS_SMC_0/un1_axi_state_5_i_o3_0_0_a2:A,10343
top_sb_0/MSS_SMC_0/un1_axi_state_5_i_o3_0_0_a2:B,10259
top_sb_0/MSS_SMC_0/un1_axi_state_5_i_o3_0_0_a2:C,8085
top_sb_0/MSS_SMC_0/un1_axi_state_5_i_o3_0_0_a2:D,10104
top_sb_0/MSS_SMC_0/un1_axi_state_5_i_o3_0_0_a2:Y,8085
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_26:IPA,
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.WDATA_M_INPFF1[48]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.WDATA_M_INPFF1[48]:CLK,18655
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.WDATA_M_INPFF1[48]:D,10715
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.WDATA_M_INPFF1[48]:EN,16416
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.WDATA_M_INPFF1[48]:Q,18655
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_139:IPA,
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_139:IPB,
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/pcable_int:ALn,16494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/pcable_int:CLK,15133
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/pcable_int:D,16323
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.0.openbank_r1_i/pcable_int:Q,15133
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wr_data_d[44]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wr_data_d[44]:CLK,16323
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wr_data_d[44]:D,16581
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wr_data_d[44]:Q,16323
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/masterDataInProg_RNIO5K8_5[0]:A,15304
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/masterDataInProg_RNIO5K8_5[0]:B,17297
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/masterDataInProg_RNIO5K8_5[0]:Y,15304
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/actable_shift_57_m2s2:A,14960
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/actable_shift_57_m2s2:B,15119
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/actable_shift_57_m2s2:C,14852
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/actable_shift_57_m2s2:D,14699
